开始城市,结束城市,实际迁徙指数
儋州,白沙黎族自治县,11.099722222222224
克孜勒苏柯尔克孜,喀什,10.03138888888889
克拉玛依,乌鲁木齐,6.581388888888887
克拉玛依,伊犁哈萨克,6.688888888888889
克拉玛依,塔城,11.343333333333332
克拉玛依,昌吉回族,2.292222222222222
克拉玛依,石河子,0.3586111111111111
克拉玛依,阿勒泰,2.0924999999999994
六安,亳州,2.8744444444444452
六安,合肥,423.87888888888875
六安,安庆,45.12305555555556
六安,池州,0.731111111111111
六安,淮南,42.86111111111111
六安,滁州,11.238888888888889
六安,芜湖,6.071111111111111
六安,阜阳,49.309444444444445
六安,马鞍山,0.20833333333333331
六安,黄山,0.030277777777777782
六盘水,安顺,38.1386111111111
六盘水,毕节,76.85888888888886
六盘水,贵阳,34.918055555555554
六盘水,遵义,5.667222222222223
六盘水,铜仁,2.2741666666666673
六盘水,黔东南苗族侗族,2.227777777777778
六盘水,黔南布依族苗族,5.7022222222222245
六盘水,黔西南布依族苗族,33.03666666666666
兰州,临夏回族,42.09888888888889
兰州,嘉峪关,1.5419444444444441
兰州,天水,16.01388888888889
兰州,定西,52.35361111111112
兰州,平凉,13.15777777777778
兰州,庆阳,3.739166666666666
兰州,张掖,5.761111111111111
兰州,武威,27.214999999999996
兰州,甘南藏族,5.305833333333335
兰州,白银,71.03861111111112
兰州,酒泉,4.433888888888889
兰州,金昌,4.333055555555556
兰州,陇南,5.3933333333333335
兴安盟,乌兰察布,0.3097222222222222
兴安盟,包头,0.04111111111111111
兴安盟,呼伦贝尔,9.86888888888889
兴安盟,呼和浩特,0.8533333333333335
兴安盟,巴彦淖尔,0.0011111111111111113
兴安盟,赤峰,3.8177777777777764
兴安盟,通辽,13.345
兴安盟,鄂尔多斯,0.014722222222222222
兴安盟,锡林郭勒盟,2.9266666666666663
内江,乐山,0.9233333333333333
内江,宜宾,32.18305555555556
内江,成都,297.2408333333333
内江,泸州,99.17722222222223
内江,眉山,45.3111111111111
内江,自贡,206.42
内江,资阳,86.19555555555553
内江,重庆,49.76249999999998
凉山彝族,成都,43.09305555555555
凉山彝族,攀枝花,38.67666666666665
凉山彝族,甘孜藏族,0.0325
凉山彝族,雅安,12.773055555555555
包头,乌兰察布,11.17194444444444
包头,乌海,2.306388888888888
包头,兴安盟,0.13055555555555562
包头,呼伦贝尔,0.09944444444444452
包头,呼和浩特,45.29722222222222
包头,巴彦淖尔,26.68611111111112
包头,赤峰,0.7791666666666666
包头,通辽,0.29972222222222233
包头,鄂尔多斯,50.87277777777777
包头,锡林郭勒盟,1.0930555555555554
包头,阿拉善盟,0.8330555555555555
北京,保定,329.1286111111111
北京,唐山,51.44472222222224
北京,天津,338.1125
北京,廊坊,1536.9741666666662
北京,张家口,77.91805555555553
北京,承德,46.193888888888885
北京,沧州,36.81166666666667
北京,石家庄,22.27861111111111
北京,秦皇岛,13.349166666666667
北京,衡水,17.839722222222225
北京,邢台,8.270277777777775
北京,邯郸,19.23944444444444
北屯,阿勒泰,5.043055555555553
北海,南宁,33.60277777777777
北海,崇左,2.7011111111111106
北海,桂林,0.5644444444444444
北海,玉林,27.049166666666654
北海,百色,0.545
北海,贵港,0.5691666666666667
北海,钦州,50.22222222222223
北海,防城港,13.335555555555562
十堰,宜昌,0.03972222222222222
十堰,武汉,9.543333333333333
十堰,襄阳,45.030277777777776
南京,上海,55.97055555555556
南京,亳州,2.8875
南京,南通,56.726666666666674
南京,合肥,9.359722222222222
南京,宿迁,62.248888888888885
南京,常州,336.1083333333331
南京,徐州,38.37250000000001
南京,扬州,308.01416666666665
南京,无锡,236.1477777777778
南京,杭州,19.529722222222222
南京,泰州,73.04555555555555
南京,淮安,101.53722222222216
南京,滁州,280.63805555555564
南京,盐城,51.23444444444443
南京,苏州,232.7722222222223
南京,连云港,9.05583333333333
南京,镇江,1018.310555555555
南京,阜阳,2.865
南京,马鞍山,164.93722222222223
南充,巴中,47.38888888888888
南充,广元,35.608333333333334
南充,广安,121.79444444444454
南充,德阳,4.348888888888889
南充,成都,359.14444444444445
南充,绵阳,75.80333333333328
南充,达州,95.15333333333331
南充,遂宁,86.08777777777775
南充,重庆,58.65361111111112
南宁,北海,31.27333333333334
南宁,崇左,144.2888888888889
南宁,来宾,54.47166666666664
南宁,柳州,45.830000000000005
南宁,桂林,25.120277777777765
南宁,梧州,17.500000000000004
南宁,河池,87.42722222222223
南宁,玉林,66.55861111111112
南宁,百色,101.33500000000002
南宁,贵港,81.10944444444448
南宁,贺州,5.759444444444446
南宁,钦州,104.65361111111116
南宁,防城港,54.90027777777779
南平,三明,33.68305555555556
南平,厦门,9.862777777777778
南平,宁德,24.678055555555556
南平,泉州,15.205277777777768
南平,漳州,4.8405555555555555
南平,福州,58.465833333333336
南平,莆田,5.642222222222221
南平,龙岩,4.655555555555556
南昌,上饶,108.74194444444444
南昌,九江,174.1408333333334
南昌,吉安,44.56916666666666
南昌,宜春,267.10277777777793
