from_city_code,real_value
530300,388.9066823999931
530400,214.81390732002657
530500,68.05501729999702
530600,220.68696206002366
530700,42.91223431999872
530800,69.77585055999451
530900,31.444459110000327
532300,192.0564054200221
532500,152.0200160800149
532600,115.44640326000258
532800,38.49890753999946
532900,181.5552952300225
533100,28.721405139999792
533300,7.041949159999909
533400,8.40889467999999
540100,17.455288449999127
540200,4.1283366599998645
540300,15.700838559999827
540400,10.681115709999872
540500,5.267224539999963
540600,6.063891999999954
542500,0.33555634000000173
610100,1432.5155620100559
610200,103.17334978000021
610300,171.06168376001793
610400,988.3066797899478
610500,467.4130700399879
610600,164.775570920007
610700,281.36445807001246
610800,281.47279137001436
610900,285.14751326001084
611000,228.90334632001282
620100,252.18529600002793
620200,29.82306654000024
620300,49.38807030999858
620400,103.78835073000079
620500,130.13529455000383
620600,108.09890568000036
620700,97.32779401999842
620800,127.9480711900037
620900,142.91807197000588
621000,53.631962339997024
621100,164.03890546001713
621200,103.07001617999909
622900,35.39223718999971
623000,11.637785109999859
630100,108.85585267000096
630200,104.16001698000026
632200,8.866949619999899
632300,4.970558339999934
632500,31.812787980000053
632600,5.739170129999912
632700,5.103614749999939
632800,38.57029154999979
640100,203.97862867002766
640200,81.19584769999793
640300,197.64307160002127
640400,85.38112693999753
640500,134.44973891000612
650100,207.04501891002764
650200,20.923895219999842
650400,109.2889027699993
650500,116.89918124999919
652300,145.16390479001348
652700,16.8752845399995
652800,62.71779337999748
652900,50.06584811999901
653000,10.228336859999954
653100,24.444456249999636
653200,11.40778610999978
654000,38.2789022000001
654200,47.489176559999386
654300,8.91389353
659001,28.522785240000367
659002,9.790004809999965
659003,2.7088909699999832
659004,21.06583774999984
659005,3.2933353099999656
659006,5.518336359999921
659007,4.85583465999995
659008,5.2630569099999605
659009,0.8252785700000016
659010,0.16805554
710000,0.00305558
810000,15.131673349999227
820000,12.82305840999982
