from_city_code,to_city_code,real_value
341600,340200,0.313333333
341600,340300,40.87694444
341600,341200,140.7294444
429004,421200,0.613888889
429004,429006,32.82416667
429004,420900,23.47472222
429004,420500,1.952222222
429004,0,0.365555556
429004,420100,101.7508333
429004,429005,22.68944444
429004,421000,46.33527778
429004,420800,2.836944444
230700,230800,2.915555556
230700,230500,0.06
230700,230100,6.080555556
230700,230600,0.076388889
230700,231000,0.024166667
230700,231200,5.218333333
230700,230400,2.878055556
230700,231100,1.016111111
230700,230200,0.794722222
0,650100,8.977222222
0,650200,6.467222222
0,0,4.436111111
0,659008,11.83805556
0,654200,14.28194444
0,0,1.423611111
0,0,2.086111111
0,659001,2.11
0,652900,0.073333333
0,654300,0.552777778
440600,441900,1367.069167
440600,442000,2342.897778
440600,445300,114.3325
440600,440100,11631.80444
440600,441300,231.2363889
440600,440700,1832.43
440600,440300,705.7208333
440600,441800,223.7622222
440600,440800,31.61916667
440600,0,1.633888889
440600,440400,248.4075
440600,441200,1756.214444
440600,440900,43.94222222
440600,450800,4.3075
440600,441700,9.013055556
440600,440200,10.50222222
440600,0,0.170833333
230800,230900,4.781111111
230800,230700,2.280277778
230800,230500,22.06805556
230800,230100,18.41166667
230800,232700,0.003333333
230800,230600,0.595277778
230800,231000,1.436388889
230800,231200,1.563611111
230800,230300,2.889722222
230800,230400,15.35777778
230800,231100,0.332777778
230800,230200,0.56
469029,460200,25.94555556
469029,469001,6.482222222
469029,460100,2.312222222
469029,469028,7.7075
130600,110000,482.4680556
130600,130200,73.13277778
130600,120000,105.2388889
130600,131000,361.3683333
130600,130700,107.2755556
130600,130800,10.42
130600,130900,279.0522222
130600,130100,434.9163889
130600,130300,11.00388889
130600,131100,114.3827778
130600,130500,49.32888889
130600,130400,52.92111111
530500,530900,8.183611111
530500,0,17.30583333
530500,0,34.57972222
530500,0,6.155833333
530500,530100,12.66138889
530500,0,0.068611111
411500,411300,35.02555556
411500,411600,11.41305556
411500,410100,39.67138889
411500,411700,96.71861111
460400,469006,4.545833333
460400,460200,7.911666667
460400,469007,9.5175
460400,469024,13.0425
460400,469027,2.789722222
460400,469022,0.398055556
460400,469026,11.28805556
460400,460100,42.58666667
460400,469023,9.373333333
460400,469030,3.573333333
460400,469002,3.695833333
460400,469025,11.09972222
0,653100,10.03138889
650200,650100,6.581388889
650200,0,6.688888889
650200,654200,11.34333333
650200,0,2.292222222
650200,659001,0.358611111
650200,654300,2.0925
341500,341600,2.874444444
341500,340100,423.8788889
341500,340800,45.12305556
341500,341700,0.731111111
341500,340400,42.86111111
341500,341100,11.23888889
341500,340200,6.071111111
341500,341200,49.30944444
341500,340500,0.208333333
341500,341000,0.030277778
520200,520400,38.13861111
520200,520500,76.85888889
520200,520100,34.91805556
520200,520300,5.667222222
520200,520600,2.274166667
520200,0,2.227777778
520200,0,5.702222222
520200,0,33.03666667
620100,0,42.09888889
620100,620200,1.541944444
620100,620500,16.01388889
620100,621100,52.35361111
620100,620800,13.15777778
620100,621000,3.739166667
620100,620700,5.761111111
620100,620600,27.215
620100,0,5.305833333
620100,620400,71.03861111
620100,620900,4.433888889
620100,620300,4.333055556
620100,621200,5.393333333
