city_code,city,longitude,latitude,agglomerate,tile_num
420100,武汉市,114.3428771,30.62404986,,140.0
429004,仙桃市,113.3757194,30.28989812,,138.0
421200,咸宁市,114.1753416,29.62403688,,140.0
420600,襄阳市,111.9366605,31.93192027,,201.0
420900,孝感市,113.8790061,31.11818753,,138.0
420500,宜昌市,111.1352804,30.74743374,,232.0
430700,常德市,111.5196482,29.29994992,,11.0
431000,郴州市,113.1363485,25.81447244,,42.0
430400,衡阳市,112.574186,26.79428249,,42.0
431200,怀化市,110.0751271,27.54817525,,193.0
431300,娄底市,111.6131102,27.73901201,,11.0
430500,邵阳市,110.8744666,26.91332644,,160.0
430300,湘潭市,112.6029037,27.73160662,,11.0
433100,湘西土家族苗族自治州,109.7270331,28.69487233,,193.0
430900,益阳市,111.9513217,28.57523162,,11.0
431100,永州市,111.7293638,25.77353031,,42.0
430600,岳阳市,113.2543192,29.06636126,,11.0
430800,张家界市,110.52663909999998,29.39245758,,193.0
430100,长沙市,113.1529965,28.22714474,,11.0
430200,株洲市,113.5173744,27.11883783,,42.0
220800,白城市,123.0118092,45.34651468,,137.0
220600,白山市,127.2852846,42.0696094,,84.0
220200,吉林市,126.8432804,43.57963456,,226.0
220400,辽源市,125.3054884,42.81082408,,226.0
220300,四平市,124.3840929,43.48353182,,60.0
220700,松原市,124.4768265,44.80129882,,137.0
220500,通化市,125.9491578,41.95618238,,84.0
222400,延边朝鲜族自治州,129.1237276,43.14200003,,218.0
220100,长春市,125.5838918,44.28310973,,226.0
320400,常州市,119.6365424,31.62492091,2.0,196.0
320800,淮安市,118.9648612,33.35176089,,6.0
320700,连云港市,119.1397466,34.53595327,,12.0
320100,南京市,118.8427656,31.92759114,2.0,6.0
320600,南通市,121.0443682,32.18304405,2.0,52.0
320500,苏州市,120.6558596,31.38349196,2.0,196.0
321300,宿迁市,118.5201908,33.78423854,,6.0
321200,泰州市,120.0563571,32.57097365,2.0,52.0
320200,无锡市,120.0756925,31.52400065,2.0,196.0
320300,徐州市,117.5174133,34.35531783,,12.0
320900,盐城市,120.1948612,33.51415001,2.0,52.0
321000,扬州市,119.474472,32.73729539,2.0,52.0
321100,镇江市,119.45292240000002,32.01570779,2.0,52.0
361000,抚州市,116.43412920000002,27.51015051,,44.0
360700,赣州市,115.2730355,25.7088547,,20.0
360800,吉安市,114.8246394,26.97340935,,20.0
360200,景德镇市,117.2699557,29.30728248,,235.0
360400,九江市,115.4517472,29.32196637,,44.0
360100,南昌市,116.0185878,28.64979404,,44.0
360300,萍乡市,113.90274209999998,27.51265333,,11.0
361100,上饶市,117.4721679,28.77294759,,235.0
360500,新余市,114.852229,27.84531515,,44.0
360900,宜春市,114.9725719,28.30613949,,44.0
360600,鹰潭市,117.1074392,28.22465069,,235.0
210300,鞍山市,123.0126017,40.71323795,,101.0
210500,本溪市,124.56838,41.22883231,,101.0
211300,朝阳市,120.0144171,41.51088259,,153.0
210200,大连市,122.1919051,39.58477196,,134.0
210600,丹东市,124.3973917,40.54000529,,134.0
210400,抚顺市,124.6558999,41.83380977,,101.0
210900,阜新市,121.9551668,42.27925639,,153.0
211400,葫芦岛市,120.2048675,40.61720784,,153.0
210700,锦州市,121.612428,41.45877975,,153.0
211000,辽阳市,123.2457009,41.18178354,,101.0
211100,盘锦市,121.9940316,41.06596229,,153.0
210100,沈阳市,123.1376608,42.09432213,,101.0
211200,铁岭市,124.1706602,42.64387946,,60.0
210800,营口市,122.4511902,40.38894659,,134.0
152900,阿拉善盟,102.4489644,40.49706802,,150.0
150800,巴彦淖尔市,107.5697088,41.44571973,,162.0
150200,包头市,110.2604084,41.54929817,,108.0
150400,赤峰市,118.8709506,43.22042011,,34.0
150600,鄂尔多斯市,108.6284617,39.41184161,,27.0
150100,呼和浩特市,111.4979894,40.59109042,,207.0
150700,呼伦贝尔市,121.196017,49.66148768,,26.0
150500,通辽市,121.5699327,43.81587159,,159.0
150300,乌海市,106.8697033,39.42534191,,65.0
150900,乌兰察布市,112.4430445,41.68253941,,215.0
152500,锡林郭勒盟,115.4835227,44.1929266,,80.0
152200,兴安盟,121.3364372,46.22525709,,90.0
640400,固原市,106.180721,35.91474713,,210.0
640200,石嘴山市,106.5124476,39.00628937,,65.0
640300,吴忠市,106.52713500000002,37.46237905,,119.0
640100,银川市,106.343573,38.28572327,,119.0
640500,中卫市,105.5013166,37.01284548,,130.0
632600,果洛藏族自治州,99.42016633,34.11641147,,165.0
632200,海北藏族自治州,100.3035137,37.75825597,,25.0
630200,海东市,102.3435064,36.33208032,,177.0
632500,海南藏族自治州,100.2567706,35.90029003,,224.0
632800,海西蒙古族藏族自治州,94.53120673,36.71257669,,21.0
632300,黄南藏族自治州,101.6291753,35.02222884,,177.0
630100,西宁市,101.4368998,36.82579654,,180.0
632700,玉树藏族自治州,94.32138256,34.21110429,,206.0
371600,滨州市,117.8411749,37.53939145,,121.0
371400,德州市,116.6472134,37.24829922,,121.0
370500,东营市,118.6350224,37.63988761,,121.0
371700,菏泽市,115.6927151,35.15104507,,72.0
370100,济南市,117.2154615,36.63697278,,121.0
370800,济宁市,116.7355628,35.36937488,,12.0
371500,聊城市,115.88137,36.45840727,,199.0
371300,临沂市,118.280571,35.30939882,,12.0
370200,青岛市,120.14619109999998,36.44715886,,106.0
371100,日照市,119.1412102,35.57786064,,12.0
370900,泰安市,117.0251512,36.00172708,,12.0
371000,威海市,121.9956902,37.11742886,,106.0
370700,潍坊市,119.0725905,36.55151791,,121.0
370600,烟台市,120.7998224,37.24464008,,106.0
370400,枣庄市,117.3928067,34.91610433,,12.0
370300,淄博市,118.0532572,36.60786112,,121.0
140200,大同市,113.7192757,39.90042929,,207.0
140500,晋城市,112.70673700000002,35.61051272,,231.0
140700,晋中市,112.9621265,37.32670067,,186.0
141000,临汾市,111.3766745,36.22673115,,231.0
141100,吕梁市,111.2626578,37.67870361,,186.0
140600,朔州市,112.641554,39.61686303,,207.0
140100,太原市,112.3154802,37.95911563,,186.0
140900,忻州市,112.4086805,38.88214197,,207.0
140300,阳泉市,113.499385,38.06316904,,186.0
140800,运城市,111.0659043,35.18753039,,146.0
140400,长治市,112.915697,36.47603248,,186.0
610900,安康市,108.9262447,32.75748098,,203.0
610300,宝鸡市,107.2008116,34.37893087,,210.0
610700,汉中市,107.1030498,33.09051251,,43.0
611000,商洛市,109.9010118,33.64788831,,203.0
610200,铜川市,109.0331555,35.1960268,,146.0
610500,渭南市,109.8513244,34.94933878,,146.0
610100,西安市,108.7916033,34.10705846,,203.0
610400,咸阳市,108.3901729,34.7849521,,210.0
610600,延安市,109.3153279,36.43705706,,124.0
610800,榆林市,109.5659762,38.03854295,,124.0
310000,上海市,121.4841515,31.21193692,2.0,196.0
513200,阿坝藏族羌族自治州,102.6092624,32.40023992,,36.0
511900,巴中市,107.0374744,32.01714449,,43.0
510100,成都市,103.9295936,30.65358578,,14.0
511700,达州市,107.6448077,31.36629677,,110.0
510600,德阳市,104.4348345,31.13004513,,14.0
513300,甘孜藏族自治州,99.99732028,30.94882592,,35.0
511600,广安市,106.6634436,30.42638264,,110.0
510800,广元市,105.7823428,32.26219267,,184.0
511100,乐山市,103.5694769,29.21582511,,220.0
513400,凉山彝族自治州,102.0797068,27.88574294,,2.0
510500,泸州市,105.6662201,28.43989127,,220.0
511400,眉山市,103.7521057,29.92686826,,14.0
510700,绵阳市,104.7029473,31.84913094,,14.0
511300,南充市,106.20373290000002,31.19573387,,110.0
511000,内江市,104.9111008,29.64070434,,14.0
510400,攀枝花市,101.729351,26.80726962,,71.0
510900,遂宁市,105.4717433,30.63173886,,14.0
511800,雅安市,102.66268259999998,29.91315483,,68.0
511500,宜宾市,104.6352507,28.57370624,,220.0
512000,资阳市,105.1155222,30.10047257,,14.0
510300,自贡市,104.6828319,29.28680007,,220.0
120000,天津市,117.341577,39.28377537,1.0,171.0
542500,阿里地区,82.5576254,33.03023451,,195.0
540300,昌都市,97.03866125,30.77485008,,143.0
540100,拉萨市,91.08983076,30.03732204,,229.0
540400,林芝市,95.24222626,29.19477783,,238.0
540600,那曲市,89.25764323,32.7364181,,163.0
540200,日喀则市,86.48508281,29.49119206,,100.0
540500,山南市,92.26829765,28.30053635,,15.0
652900,阿克苏地区,81.54861239,40.96246873,,174.0
659002,阿拉尔市,81.31426652,40.59961007,,174.0
654300,阿勒泰地区,88.40471742,46.90696484,,53.0
652800,巴音郭楞蒙古自治州,87.46599626,39.49118948,,57.0
659005,北屯市,87.9533151,47.24409572,,53.0
652700,博尔塔拉蒙古自治州,82.10450617,44.72849642,,103.0
652300,昌吉回族自治州,88.63469305,44.34537993,,95.0
650500,哈密市,93.51478478,43.03902053,,31.0
653200,和田地区,80.92034052,37.07196936,,89.0
653100,喀什地区,77.18565366,38.12784647,,192.0
659008,可克达拉市,80.68478349,43.91619011,,105.0
650200,克拉玛依市,85.20177411,45.49257577,,213.0
653000,克孜勒苏柯尔克孜自治州,75.94469535,39.65549562,,188.0
659009,昆玉市,79.02057264,37.47438194,,89.0
659001,石河子市,86.03558277,44.30553786,,61.0
659007,双河市,82.35995107,44.87414296,,103.0
654200,塔城地区,84.79133863,45.64115399,,213.0
659006,铁门关市,85.63722958,41.79844611,,237.0
659003,图木舒克市,79.16129407,39.86972663,,214.0
650400,吐鲁番市,89.82962783,42.38781724,,32.0
650100,乌鲁木齐市,87.78095236,43.73150711,,95.0
659004,五家渠市,87.55452236,44.36074215,,95.0
654000,伊犁哈萨克自治州,82.12384007,43.44638579,,30.0
530500,保山市,98.97171094,24.97631107,,39.0
532300,楚雄彝族自治州,101.5680903,25.35205656,,71.0
532900,大理白族自治州,100.0391885,25.72801376,,39.0
533100,德宏傣族景颇族自治州,98.0849017,24.55904175,,151.0
533400,迪庆藏族自治州,99.43991782,27.95674408,,29.0
532500,红河哈尼族彝族自治州,103.0350178,23.43992745,,185.0
530100,昆明市,102.8727812,25.38683915,,71.0
530700,丽江市,100.523957,26.94064927,,71.0
530900,临沧市,99.67293182,23.93912954,,151.0
533300,怒江傈僳族自治州,98.86955743,26.95909062,,39.0
530800,普洱市,100.7202111,23.18638245,,185.0
530300,曲靖市,103.9377706,25.7037554,,94.0
532600,文山壮族苗族自治州,104.7136043,23.68968811,,181.0
532800,西双版纳傣族自治州,100.9428653,21.93173858,,131.0
530400,玉溪市,102.2020078,24.13966474,,185.0
530600,昭通市,104.0020299,27.65344012,,220.0
330100,杭州市,119.4708146,29.89986219,2.0,196.0
330500,湖州市,119.8687764,30.74481198,2.0,196.0
330400,嘉兴市,120.7790269,30.62192563,2.0,196.0
330700,金华市,119.9522159,29.11710724,2.0,200.0
331100,丽水市,119.5120275,28.19927708,,200.0
330200,宁波市,121.4789837,29.73047805,2.0,196.0
330800,衢州市,118.6745398,28.93436702,,235.0
330600,绍兴市,120.6365604,29.7346077,2.0,196.0
331000,台州市,121.1372207,28.75727043,2.0,200.0
330300,温州市,120.4644063,27.89566818,,200.0
330900,舟山市,122.1820674,30.1180369,2.0,196.0
500000,重庆市,107.874446,30.05717028,,110.0
